timestamp [ns],worldFrame,world_gazeX,world_gazeY,ref_gazeX,ref_gazeY,number_point_matches,mapped
1703060748195757967,6,822.706,546.213,0.0,0.0,0,False
1703060748198891967,6,821.141,541.645,0.0,0.0,0,False
1703060748206043967,6,825.352,564.16,0.0,0.0,0,False
1703060748215076967,6,824.552,552.835,0.0,0.0,0,False
1703060748220011967,6,824.158,552.932,0.0,0.0,0,False
1703060748293867967,6,835.312,558.552,0.0,0.0,0,False
1703060748296146967,6,842.939,569.791,0.0,0.0,0,False
1703060748306519967,6,831.91,573.749,0.0,0.0,0,False
1703060748309598967,6,842.975,578.591,0.0,0.0,0,False
1703060748314846967,6,843.161,568.658,0.0,0.0,0,False
1703060748318432967,6,853.809,557.834,0.0,0.0,0,False
1703060748324163967,6,840.693,582.272,0.0,0.0,0,False
1703060748330580967,6,827.574,556.71,0.0,0.0,0,False
1703060748334184967,6,817.53,552.729,0.0,0.0,0,False
1703060748339842967,6,820.804,565.032,0.0,0.0,0,False
1703060748343411967,6,827.475,549.381,0.0,0.0,0,False
1703060748349172967,8,817.928,558.145,0.0,0.0,0,False
1703060748355452967,8,840.446,571.667,0.0,0.0,0,False
1703060748358644967,8,850.064,579.289,0.0,0.0,0,False
1703060748364825967,8,851.552,601.511,0.0,0.0,0,False
1703060748367971967,8,847.362,584.604,0.0,0.0,0,False
1703060748374216967,8,833.568,590.167,0.0,0.0,0,False
1703060748380565967,8,841.448,567.037,0.0,0.0,0,False
1703060748384413967,8,817.599,571.562,0.0,0.0,0,False
1703060748390984967,8,830.769,586.044,0.0,0.0,0,False
1703060748392987967,8,812.316,558.125,0.0,0.0,0,False
1703060748399153967,8,811.379,555.769,0.0,0.0,0,False
1703060748406022967,8,826.074,571.255,0.0,0.0,0,False
1703060748408545967,8,836.939,566.354,0.0,0.0,0,False
1703060748414859967,8,829.787,570.262,0.0,0.0,0,False
1703060748417927967,8,838.629,567.646,0.0,0.0,0,False
1703060748424251967,8,834.217,572.784,0.0,0.0,0,False
1703060748430476967,8,824.193,572.463,0.0,0.0,0,False
1703060748434152967,8,834.025,578.907,0.0,0.0,0,False
1703060748439873967,8,833.841,568.591,0.0,0.0,0,False
1703060748446133967,8,817.965,559.488,0.0,0.0,0,False
1703060748449193967,8,819.542,564.439,0.0,0.0,0,False
1703060748455518967,8,830.612,563.785,0.0,0.0,0,False
1703060748458583967,8,836.339,576.33,0.0,0.0,0,False
1703060748464850967,8,860.394,565.866,0.0,0.0,0,False
1703060748472027967,8,860.443,558.491,0.0,0.0,0,False
1703060748474250967,8,849.505,545.442,0.0,0.0,0,False
1703060748480483967,8,823.553,553.701,0.0,0.0,0,False
1703060748483608967,8,830.623,560.336,0.0,0.0,0,False
1703060748490637967,8,833.438,563.945,0.0,0.0,0,False
1703060748496098967,8,815.825,571.855,0.0,0.0,0,False
1703060748499179967,8,826.58,562.974,0.0,0.0,0,False
1703060748506187967,8,841.126,574.676,0.0,0.0,0,False
1703060748508791967,8,839.072,572.624,0.0,0.0,0,False
1703060748514858967,8,858.591,567.929,0.0,0.0,0,False
1703060748521296967,8,847.121,559.236,0.0,0.0,0,False
1703060748526732967,8,841.782,556.322,0.0,0.0,0,False
1703060748530488967,8,849.543,593.674,0.0,0.0,0,False
1703060748533706967,8,835.676,558.217,0.0,0.0,0,False
1703060748539872967,8,835.509,550.154,0.0,0.0,0,False
1703060748546082967,10,819.797,566.585,0.0,0.0,0,False
1703060748550273967,10,819.802,555.622,0.0,0.0,0,False
1703060748556004967,10,832.919,550.167,0.0,0.0,0,False
1703060748558629967,10,845.606,563.726,0.0,0.0,0,False
1703060748564872967,10,843.89,565.452,0.0,0.0,0,False
1703060748571305967,10,836.782,547.716,0.0,0.0,0,False
1703060748574230967,10,834.263,561.046,0.0,0.0,0,False
1703060748580453967,10,844.399,556.027,0.0,0.0,0,False
1703060748583852967,10,841.711,575.915,0.0,0.0,0,False
1703060748589987967,10,835.753,571.046,0.0,0.0,0,False
1703060748596157967,10,833.116,558.897,0.0,0.0,0,False
1703060748599154967,10,814.944,559.904,0.0,0.0,0,False
1703060748605735967,10,832.895,581.997,0.0,0.0,0,False
1703060748608544967,10,847.356,558.635,0.0,0.0,0,False
1703060748614902967,10,858.796,570.51,0.0,0.0,0,False
1703060748621118967,10,846.831,562.146,0.0,0.0,0,False
1703060748624149967,10,844.032,561.741,0.0,0.0,0,False
1703060748630577967,10,853.319,577.529,0.0,0.0,0,False
1703060748633685967,10,833.91,585.778,0.0,0.0,0,False
1703060748640134967,10,839.286,584.058,0.0,0.0,0,False
1703060748646092967,10,831.108,574.303,0.0,0.0,0,False
1703060748649460967,10,822.636,581.354,0.0,0.0,0,False
1703060748655799967,10,821.71,577.846,0.0,0.0,0,False
1703060748658591967,10,825.601,587.359,0.0,0.0,0,False
1703060748667651967,10,825.85,578.094,0.0,0.0,0,False
1703060748671060967,10,806.822,567.896,0.0,0.0,0,False
1703060748674187967,10,821.753,575.648,0.0,0.0,0,False
1703060748681106967,10,823.499,575.324,0.0,0.0,0,False
1703060748683674967,10,793.699,580.893,0.0,0.0,0,False
1703060748689987967,10,822.388,572.594,0.0,0.0,0,False
1703060748699160967,10,836.001,590.645,0.0,0.0,0,False
1703060748705923967,10,840.15,598.952,0.0,0.0,0,False
1703060748708564967,10,844.617,594.327,0.0,0.0,0,False
1703060748715605967,10,824.453,608.805,0.0,0.0,0,False
1703060748721091967,10,817.679,597.951,0.0,0.0,0,False
1703060748724971967,10,811.964,580.705,0.0,0.0,0,False
1703060748730462967,10,818.457,577.722,0.0,0.0,0,False
1703060748733643967,10,814.191,574.287,0.0,0.0,0,False
1703060748739795967,10,825.096,571.92,0.0,0.0,0,False
1703060748746247967,12,812.134,562.459,0.0,0.0,0,False
1703060748749398967,12,814.582,580.938,0.0,0.0,0,False
1703060748755491967,12,819.394,576.601,0.0,0.0,0,False
1703060748759296967,12,823.072,571.878,0.0,0.0,0,False
1703060748764870967,12,818.169,588.683,0.0,0.0,0,False
1703060748771572967,12,816.068,579.418,0.0,0.0,0,False
1703060748775624967,12,801.956,564.822,0.0,0.0,0,False
1703060748780525967,12,813.169,588.435,0.0,0.0,0,False
1703060748783549967,12,809.08,582.086,0.0,0.0,0,False
1703060748789993967,12,820.27,569.434,0.0,0.0,0,False
1703060748796128967,12,816.104,575.978,0.0,0.0,0,False
1703060748799196967,12,823.827,570.075,0.0,0.0,0,False
1703060748805625967,12,805.982,583.674,0.0,0.0,0,False
1703060748808619967,12,803.005,580.342,0.0,0.0,0,False
1703060748814804967,12,808.057,577.596,0.0,0.0,0,False
1703060748821175967,12,814.977,599.042,0.0,0.0,0,False
1703060748824218967,12,831.479,606.483,0.0,0.0,0,False
1703060748830476967,12,835.418,593.894,0.0,0.0,0,False
1703060748833812967,12,831.929,586.011,0.0,0.0,0,False
1703060748839839967,12,822.4,579.617,0.0,0.0,0,False
1703060748846149967,12,800.839,583.679,0.0,0.0,0,False
1703060748851372967,12,822.863,567.827,0.0,0.0,0,False
1703060748857234967,12,810.001,586.524,0.0,0.0,0,False
1703060748858845967,12,814.428,567.682,0.0,0.0,0,False
1703060748864892967,12,810.22,570.694,0.0,0.0,0,False
1703060748871111967,12,823.11,574.84,0.0,0.0,0,False
1703060748874905967,12,807.623,558.379,0.0,0.0,0,False
1703060748880473967,12,798.874,548.784,0.0,0.0,0,False
1703060748883593967,12,808.314,557.906,0.0,0.0,0,False
1703060748890990967,12,800.075,549.258,0.0,0.0,0,False
1703060748896107967,12,806.693,569.533,0.0,0.0,0,False
1703060748899183967,12,811.417,562.698,0.0,0.0,0,False
1703060748905612967,12,817.092,565.071,0.0,0.0,0,False
1703060748908612967,12,812.86,568.219,0.0,0.0,0,False
1703060748914818967,12,798.593,560.559,0.0,0.0,0,False
1703060748921092967,12,806.209,580.704,0.0,0.0,0,False
1703060748924247967,12,822.033,569.773,0.0,0.0,0,False
1703060748930850967,12,812.989,574.581,0.0,0.0,0,False
1703060748934171967,12,826.65,575.548,0.0,0.0,0,False
1703060748939819967,12,824.564,570.672,0.0,0.0,0,False
1703060748946076967,14,803.194,573.804,0.0,0.0,0,False
1703060748949202967,14,800.054,576.241,0.0,0.0,0,False
1703060748955483967,14,805.356,581.978,0.0,0.0,0,False
1703060748958606967,14,809.227,578.376,0.0,0.0,0,False
1703060748964791967,14,820.205,572.695,0.0,0.0,0,False
1703060748971097967,14,818.707,569.663,0.0,0.0,0,False
1703060748974174967,14,817.046,575.498,0.0,0.0,0,False
1703060748980734967,14,829.791,561.353,0.0,0.0,0,False
1703060748984204967,14,833.507,554.69,0.0,0.0,0,False
1703060748989818967,14,849.013,577.624,0.0,0.0,0,False
1703060748996123967,14,808.619,574.768,0.0,0.0,0,False
1703060748999298967,14,819.117,555.274,0.0,0.0,0,False
1703060749005984967,14,820.515,558.749,0.0,0.0,0,False
1703060749008708967,14,814.055,568.564,0.0,0.0,0,False
1703060749014827967,14,817.929,563.005,0.0,0.0,0,False
1703060749021094967,14,824.02,572.482,0.0,0.0,0,False
1703060749024244967,14,826.612,590.096,0.0,0.0,0,False
1703060749030569967,14,832.378,578.805,0.0,0.0,0,False
1703060749033952967,14,842.709,576.425,0.0,0.0,0,False
1703060749041731967,14,841.315,573.222,0.0,0.0,0,False
1703060749046133967,14,821.565,580.715,0.0,0.0,0,False
1703060749050382967,14,817.842,561.177,0.0,0.0,0,False
1703060749055454967,14,831.784,549.794,0.0,0.0,0,False
1703060749058630967,14,836.633,574.656,0.0,0.0,0,False
1703060749064990967,14,831.658,592.335,0.0,0.0,0,False
1703060749071123967,14,800.096,578.366,0.0,0.0,0,False
1703060749074240967,14,823.163,580.166,0.0,0.0,0,False
1703060749083607967,14,817.236,578.953,0.0,0.0,0,False
1703060749089813967,14,817.36,576.285,0.0,0.0,0,False
1703060749096146967,14,793.556,587.505,0.0,0.0,0,False
1703060749099511967,14,793.168,573.683,0.0,0.0,0,False
1703060749105485967,14,793.361,566.261,0.0,0.0,0,False
1703060749111744967,14,798.607,573.752,0.0,0.0,0,False
1703060749114824967,14,801.401,579.096,0.0,0.0,0,False
1703060749121161967,14,813.249,579.384,0.0,0.0,0,False
1703060749124218967,14,821.628,582.239,0.0,0.0,0,False
1703060749130518967,14,824.234,581.117,0.0,0.0,0,False
1703060749137057967,14,793.378,570.708,0.0,0.0,0,False
1703060749139984967,14,801.892,573.678,0.0,0.0,0,False
1703060749146168967,16,811.78,581.557,0.0,0.0,0,False
1703060749150656967,16,828.946,584.888,0.0,0.0,0,False
1703060749155492967,16,815.035,579.41,0.0,0.0,0,False
1703060749164829967,16,807.312,588.217,0.0,0.0,0,False
1703060749171117967,16,821.468,585.993,0.0,0.0,0,False
1703060749174235967,16,807.886,589.074,0.0,0.0,0,False
1703060749180717967,16,806.358,584.224,0.0,0.0,0,False
1703060749186720967,16,816.994,574.086,0.0,0.0,0,False
1703060749190526967,16,800.542,561.019,0.0,0.0,0,False
1703060749196157967,16,808.316,594.152,0.0,0.0,0,False
1703060749199492967,16,815.201,598.288,0.0,0.0,0,False
1703060749205802967,16,799.041,582.635,0.0,0.0,0,False
1703060749211728967,16,802.024,575.517,0.0,0.0,0,False
1703060749214853967,16,798.366,587.373,0.0,0.0,0,False
1703060749221335967,16,800.255,573.392,0.0,0.0,0,False
1703060749224813967,16,798.366,556.824,0.0,0.0,0,False
1703060749230487967,16,823.347,552.178,0.0,0.0,0,False
1703060749236818967,16,837.743,550.218,0.0,0.0,0,False
1703060749240066967,16,819.208,586.6,0.0,0.0,0,False
1703060749246116967,16,823.472,591.289,0.0,0.0,0,False
1703060749249188967,16,818.12,601.366,0.0,0.0,0,False
1703060749256035967,16,799.774,613.76,0.0,0.0,0,False
1703060749261804967,16,796.664,595.023,0.0,0.0,0,False
1703060749265361967,16,768.486,567.082,0.0,0.0,0,False
